,state,state_code,constituency,constituency_code,candidate_name,party,evm_votes,postal_votes,total_votes,percent_of_votes,migrant_votes
8283,West Bengal,S25,Joynagar,19,DR. ASHOK KANDARY,Bharatiya Janata Party,444040,387,444427,32.77,0
8284,West Bengal,S25,Joynagar,19,TAPAN MONDAL,Indian National Congress,18746,12,18758,1.38,0
8285,West Bengal,S25,Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,760934,268,761202,56.13,0
8286,West Bengal,S25,Joynagar,19,SANKAR DEB MONDAL,Bahujan Samaj Party,8531,2,8533,0.63,0
8287,West Bengal,S25,Joynagar,19,SUBHAS NASKAR,Revolutionary Socialist Party,67880,33,67913,5.01,0
8288,West Bengal,S25,Joynagar,19,ASHOKE BAIRAGI,New Democratic Party of India,3267,0,3267,0.24,0
8289,West Bengal,S25,Joynagar,19,JAYKRISHNA HALDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),38258,3,38261,2.82,0
8290,West Bengal,S25,Joynagar,19,SWAPAN KUMAR MANDAL,Rashtriya Janasachetan Party (R.J.P.),3298,0,3298,0.24,0
8291,West Bengal,S25,Joynagar,19,NOTA,None of the Above,10437,6,10443,0.77,0
8292,West Bengal,S25,Kanthi,31,Adhikari Sisir,All India Trinamool Congress,711233,639,711872,49.98,0
8293,West Bengal,S25,Kanthi,31,Dipak Kumar Das,Indian National Congress,16789,62,16851,1.18,0
8294,West Bengal,S25,Kanthi,31,Dr. Debasish Samanta,Bharatiya Janata Party,598616,1588,600204,42.14,0
8295,West Bengal,S25,Kanthi,31,Paritosh Pattanayak,Communist Party of India  (Marxist),76002,183,76185,5.35,0
8296,West Bengal,S25,Kanthi,31,Barman Khokan,Bahujan Samaj Party,3000,4,3004,0.21,0
8297,West Bengal,S25,Kanthi,31,Kenaram Misra,Shivsena,4143,4,4147,0.29,0
8298,West Bengal,S25,Kanthi,31,Manas Pradhan,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3288,9,3297,0.23,0
8299,West Bengal,S25,Kanthi,31,NOTA,None of the Above,8679,8,8687,0.61,0
8300,West Bengal,S25,Kolkata Dakshin,23,Chandra Kumar Bose,Bharatiya Janata Party,417086,841,417927,34.64,0
8301,West Bengal,S25,Kolkata Dakshin,23,Mala Roy,All India Trinamool Congress,572188,931,573119,47.5,0
8302,West Bengal,S25,Kolkata Dakshin,23,Mita Chakraborty,Indian National Congress,42536,82,42618,3.53,0
8303,West Bengal,S25,Kolkata Dakshin,23,Nandini Mukherjee,Communist Party of India  (Marxist),139770,505,140275,11.63,0
8304,West Bengal,S25,Kolkata Dakshin,23,Sarfaraz Khan,Bahujan Samaj Party,2358,2,2360,0.2,0
8305,West Bengal,S25,Kolkata Dakshin,23,Debabrata Bera,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2389,2,2391,0.2,0
8306,West Bengal,S25,Kolkata Dakshin,23,Sridhar Chandra Bagari,Shivsena,1697,0,1697,0.14,0
8307,West Bengal,S25,Kolkata Dakshin,23,Badal Mondal,Independent,801,0,801,0.07,0
8308,West Bengal,S25,Kolkata Dakshin,23,Gautam Mitra,Independent,699,2,701,0.06,0
8309,West Bengal,S25,Kolkata Dakshin,23,Kashinath Das,Independent,1253,0,1253,0.1,0
8310,West Bengal,S25,Kolkata Dakshin,23,Niraj Agarwal,Independent,1658,0,1658,0.14,0
8311,West Bengal,S25,Kolkata Dakshin,23,Rita Dutta,Independent,2457,0,2457,0.2,0
8312,West Bengal,S25,Kolkata Dakshin,23,Santanu Roy,Independent,4564,0,4564,0.38,0
8313,West Bengal,S25,Kolkata Dakshin,23,NOTA,None of the Above,14780,44,14824,1.23,0
8314,West Bengal,S25,Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,474490,401,474891,49.96,0
8315,West Bengal,S25,Kolkata Uttar,24,KANINIKA BOSE (GHOSH),Communist Party of India  (Marxist),70848,232,71080,7.48,0
8316,West Bengal,S25,Kolkata Uttar,24,OMPRAKASH PRAJAPATI,Bahujan Samaj Party,2594,3,2597,0.27,0
8317,West Bengal,S25,Kolkata Uttar,24,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,347307,489,347796,36.59,0
8318,West Bengal,S25,Kolkata Uttar,24,SYED SHAHID IMAM,Indian National Congress,26072,21,26093,2.74,0
8319,West Bengal,S25,Kolkata Uttar,24,BIJNAN KUMAR BERA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1314,1,1315,0.14,0
8320,West Bengal,S25,Kolkata Uttar,24,JOYDEB DAS,Bharateeya Manavadhikar party,480,0,480,0.05,0
8321,West Bengal,S25,Kolkata Uttar,24,MANAS MAJUMDER,Shivsena,901,0,901,0.09,0
8322,West Bengal,S25,Kolkata Uttar,24,MANMOHAN GARODIA,Rashtriya Ahinsa Manch,440,0,440,0.05,0
8323,West Bengal,S25,Kolkata Uttar,24,MD IMTIAZ KHAN,Bharat Prabhat Party,418,0,418,0.04,0
8324,West Bengal,S25,Kolkata Uttar,24,MIR TIPU SULTAN ALI,Party for Democratic Socialism,503,0,503,0.05,0
8325,West Bengal,S25,Kolkata Uttar,24,NARESH KR SINGH,Jan Sangh Party,712,0,712,0.07,0
8326,West Bengal,S25,Kolkata Uttar,24,RATHINDRA NATH ROY,Purvanchal Janta Party (Secular),1602,0,1602,0.17,0
8327,West Bengal,S25,Kolkata Uttar,24,RINKU GUPTA,Pyramid Party of India,965,0,965,0.1,0
8328,West Bengal,S25,Kolkata Uttar,24,SUBHASH VERMA,Jan Sangharsh Virat Party,1301,0,1301,0.14,0
8329,West Bengal,S25,Kolkata Uttar,24,ANUJIT KUMAR NAN,Independent,5737,0,5737,0.6,0
8330,West Bengal,S25,Kolkata Uttar,24,DEBJIT ROY CHOWDHURY,Independent,3713,0,3713,0.39,0
8331,West Bengal,S25,Kolkata Uttar,24,KALIPADA JANA,Independent,923,1,924,0.1,0
